Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
10-09-2015,Shree Pushkar,70,0.97,2.09,1.54,65,60.05,63,-3.08,210.9,224.46
09-09-2015,Navkar Corp,600,6.47,0.9,1.62,155,152,166.4,7.35,40.25,-74.03
26-08-2015,Power Mech,273.22,27.53,133.22,3.42,640,600,585.75,-8.48,978.85,52.95
11-08-2015,Syngene Intl,550,51.47,90.24,4.78,250,295,155.2,-37.92,587,134.8
09-07-2015,Manpasand Bever,400,1.99,0.38,1.16,320,291,163.43,-48.93,6.14,-98.08
26-05-2015,PNC Infratech,488,4.51,0.65,0.28,378,381,72.04,-80.94,297.7,-21.24
14-05-2015,UFO Moviez,600,4.49,1.17,1.02,625,600,598.8,-4.19,97.3,-84.43
06-05-2015,MEP Infra,324,1.02,1.51,0.97,63,63,60.95,-3.25,19.65,-68.81
30-04-2015,VRL Logistics,473.88,58.22,250.86,7.92,205,288,293.3,43.07,464.5,126.59
09-04-2015,Inox Wind,700,35.68,35.38,2.15,325,400,438,34.77,149.7,-53.94
06-04-2015,Imagicaaworld,467,1.17,0.49,1.37,180,167.95,191.25,6.25,10.1,-94.39
19-03-2015,Ortel Comm,240,1.01,0.09,0.39,181,181,171.95,-5,1.1,-99.39
19-12-2014,Monte Carlo,342.28,13.96,1.71,6.96,645,585,566.4,-12.19,579.05,-10.22
01-10-2014,Shemaroo Ent,120,5.69,8.64,7.79,170,180,171,0.59,128.15,-24.62
23-09-2014,Sharda Crop,352,32.06,251.35,5.85,156,254.1,231.45,48.37,313.6,101.03
12-09-2014,Snowman Logist,197.4,16.98,221.79,41.26,47,75,78.75,67.55,39.15,-16.7
09-05-2014,Wonderla,181.25,16.71,159.04,7.56,125,164.75,157.6,26.08,203.5,62.8
05-06-2013,Just Dial,950,10.12,22.34,3.53,530,590,611.45,15.37,717.35,35.35
01-04-2013,Repco Home,270.38,3.39,0.35,0.51,172,159.95,160.85,-6.48,304.2,76.86
